First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research
Adis Tasanarong,"Adis Tasanarong, Supranee Kongkham, and Sookkasem Khositseth",Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction,"2 BioMed Research International - Volume 2013, Article ID 308130",10.1155/2013/308130,2013,,,,1.0,,Overlapping microscopy images,1,3/19/2017,,1.0,,1,Thammasat University (Rangsit Campus),Thailand,Medicine,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",30.0,20.0,1.5,77.0,75.0,10.0,,,
Akrem Abdulsid,"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2013,08August,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1,Institute of Medical Genetics,UK,Medicine,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",7.0,5.0,1.4,229.0,4.0,5.0,,,
Alexandr V. Bazhin,"Alexandr V. Bazhin, Olga N. Shifrina, Marina S. Savchenko, Natalya K. Tikhomirova, Maria A. Goncharskaia, Vera A. Gorbunova, Ivan I. Senin, Alexandr G. Chuchalin, Pavel P. Philippov",Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Lung Cancer 34 (2001) 99�104,10.1016/S0169-5002(01)00212-4,2001,,,,1.0,,Duplicated blot strips,1,,,,1.0,1,Moscow State University,Russia,Enzymology,,,Elsevier Science,116.0,19.0,6.11,13.0,7.0,0.0,,,
Ambrish Kumar,"Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0096343,2014,05May,,1.0,,,Duplicated microscopy images,1,7/6/2016,,1.0,,1,University of South Carolina,USA,Pathology,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",45.0,17.0,2.65,2992.0,96.0,50.0,276-300,37.5,28.0
Ana Mena,"Ana Mena, Virginia Plasencia, Laura Garci_a, Olga Hidalgo, Jos� Ignacio Ayestar�n, Sebasti�n Alberti, Nuria Borrell, Jos� L. P�rez, and Antonio OliverW. Li",Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development,"J. Clin. Microbiol. 2006, 44(8):2831",10.1128/JCM.00418-06,2006,JCM,,,,1,duplicated bands within same gel panel,1,,,,1.0,1,,,Microbiología,,,"Atypon, Europe PubMed Central, PubMed Central",27.0,19.0,1.42,,,,,,
Anahita Rahmani,"Anahita Rahmani, Danial Kheradmand, Peyman Keyhanvar, Alireza Shoae-Hassani, and Amir Darbandi-Azar",Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells,"BioMed Research International, Volume 2013, Article ID 582526",10.1155/2013/582526,2013,,,,1.0,Paul Higgins,Rotated microscopy images,1,2/1/2015,,1.0,,1,Tehran University of Medical Sciences,Iran,Stem Cell and Tissue Engineering,,,"Europe PubMed Central, Hindawi Limited, PubMed Central",4.0,4.0,1.0,6.0,0.0,0.0,,,
Anusha M. Gopalakrishnan,"Anusha M. Gopalakrishnan, and Nirbhay Kumar",Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum,mBio 4(3): 2013,10.1128/mBio.00252-13,2013,mBio,,,1.0,,Duplicated agarose gel panels,1,2/3/2015,,1.0,,1,Tulane University,USA,Tropical Medicine,,PhD,"American Society for Microbiology, Atypon, Europe PubMed Central, PubMed Central",14.0,11.0,1.27,2992.0,96.0,50.0,226-250,42.8,22.6
Apiruck Watthanasurorot,"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derh�ll, Irene S�derh�llGab",Astakine 2�the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pgen.1003361,2013,03March,,,,1,"multiple cases of shifted blots, duplicated bands within blots",1,4/27/2015,1.0,,,1,Uppsala University,Sweden,Comparative Physiology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",16.0,6.0,2.67,,,,106,48.6,63.9
Aramati B.M. Reddy,"Aramati B.M. Reddy, Satish K. Srivastava, Kota V. Ramana",Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Cytokine 48 (2009) 170�176,10.1016/j.cyto.2009.07.004,2009,,,,,1,"Duplicated/mirrored bands, manipulated",1,,,,1.0,1,University of Texas Medical Branch,USA,Biochemistry,,,"Elsevier Science, Europe PubMed Central, PubMed Central",38.0,19.0,2.0,2992.0,96.0,50.0,,,
Ari Kassardjian,"Ari Kassardjian, Zeina Dakroub, Ola El Zein, Sawsan Ibrahim Kreydiyyeh",Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Cytokine 49 (2010) 312�318,10.1016/j.cyto.2009.11.020,2010,,,,,1,"Duplicated yet altered blots, multiple cases",1,,,,1.0,1,American University of Beirut,Lebanon,Biology,,Ph.D.,Elsevier Science,22.0,15.0,1.47,9.0,1.0,5.0,,,
Arumugam Nagalingam,"Arumugam Nagalingam, Jack L Arbiser, Michael Y Bonner, Neeraj K Saxena, and Dipali Sharma",Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,"Breast Cancer Research 2012, 14:R35",10.1186/bcr3128,2012,,,1.0,,,Duplicated microscopy images,1,3/28/2017,,1.0,,1,Johns Hopkins University and the Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,USA,Oncology,,,"BioMed Central, Europe PubMed Central, PubMed Central",26.0,16.0,1.62,2992.0,96.0,50.0,,,
